Nom;Brasserie;Pays;Note;Type;Fermentation;°Alc;Bouteille;Ville;Appréciation;Observations;Nom;;
La belle Siska;De Clerck;France;12,5;Spéciale;haute;7;75 cl;Peronne;Bière orangée-rouge, limpide, finement saturée. Mousse beige assez serrée. Odeur agréable mais fine de  houblon  et de  caramel . Saveur douce aux allures nette de caramel, goût doux un peu sucré. Bouche ronde et assez moelleuse (cf. étiquette). Corps moyen s'atténuant rapidement. Bière de bon aloi.;Bière honnête fabriquée à la brasserie De Clerck de Peronne.;La belle Siska;;
La cave des Pères;Engel;Allemagne;13;Spéciale;haute;6,9;50 cl;Schwäbish Gmüd;;Bouteille en grès.;;;
La Cervoise des Ancêtres;Engel;Allemagne;11;Spéciale;haute;6,9;50 cl;Schwäbish Gmüd;;Bouteille en grès.;;;
La Chouffe;Achouffe;Belgique;15;Garde;Basse;8;75 cl;Achouffe;;;La Chouffe;;
La Choulette;La choulette;France;15;Garde;haute;6,9;75 cl;Hordain;Une  garde  ambrée, moelleuse, caramélisée mais sans douceur excessive Mousse fine et serrée, tenue correcte. Bonne bière de  garde . Moins sucrée que la  Jenlain , plus amère. Refermentée en bouteille.;La choulette est un jeu de crosse traditionnel du Nord;La Choulette;;
La Choulette Framboise;La choulette;France;15;Spéciale;haute;6;33 cl;Hordain;Très bonne kriek framboise.;;La Choulette;;
La Cuivrée;Schutzenberger;France;14;Spéciale basse;basse;8;25 cl;Schiltigeim;Bière cuivrée, limpide, à la mousse blanche assez serrée de durée moyenne. Nez délicat de  malt  finement caramélisé, houblonnage typique des bières d'alsace. Saveur corsée mi-douce, tons de  caramel , goût bien houblonné, à la post-amertume durable. De la mâche, du corps, du caractère.;Bière de fermentation basse, forte, bien maltée et corsée.;La Cuivrée;;
La Divine;de silly;Belgique;13,5;Spéciale;haute;9,5;33 cl;Silly;Bière cuivrée-foncé, troublée par sa  levure , mousse claire, abondante et crémeuse. Nez riche et complexe de levures et  houblon , fleuri, fruité et subtilement vineux, doux et profond. Goût surprenant, aigre quoique sucré, amer à la post-amertume assez longue. Etonnant mélange amer-aigre-sucré.;Surprenant mélange aigre, amer et sucré-caramélisé.;La divine;;
La Facon;Facon;France;9;Pils;basse;4,6;25 cl;St Léonard;Une bière de table, commune;Bière du pays Boulonnais;Bière de Noël Semeuse 'La Facon';;
La Fanette;De Clerck;France;15;Spéciale;haute;5;75 cl;Peronne;Bière dorée, transparente. Mousse blanche serrée. Saturation faible. Nez aérien de  levure , parfums doux et léger de  houblon . Arômes fruités nets Bière désaltérante, au corps équilibré, à légère dominance de  malt , saveur assez intense de houblon aromatique doux, fruité. Bonne bière légère typée.;Bière typée malgré sa légèreté. Goût équilibré et fruité-doux. (Banane ?);La Fanette;;
La Guignolette;de Montceau St Waast;France;11,5;Spéciale;haute;6,7;75 cl;Montceau St Waast;Bière brune-rouge, limpide, mousse rosée assez serrée. Nez fruité aux arômes puissants et sucrés de cerise et framboise. Saveur sucrée, bouche épaisse et douce, au goût puissant de sirops de fruits, malheureusement assez mal équilibrée malgré sa légère acidité de framboise. Dommage.;Brassée dans le département du Nord de la France (59).;La Guignolette;;
La Guillotine;Huyghe;Belgique;14;Spéciale;Haute;9,3;33 cl;Gand;Bière blonde;;Guillotine;;
La Pucelle;de Montceau St Waast;France;14;Spéciale;haute;6,6;75 cl;Montceau St Waast;Spéciale  dorée-orangée, transparente, mousse stable serrée, bien saturée. Arôme de pêche marqué, nez doux et très fruité. Heureux mariage acidulé et fruité, légère acreté en fond de bouche. Amertume moyenne, post-amertume courte. Corps assez peu prolongé ; fruité plus long en bouche. Agréable.;Véritable bière du  Nord .;La Pucelle;;
La Trappe blonde;Abbaye trappiste;Hollande;16,5;Trappiste;haute;8;33 cl;Koninghoeven;Trappiste  mordorée, sur  levure , finement saturée, mousse claire, crémeuse. Nez très riche, arômes complexes de levure douce et de houblons aromatiques Nez malté et profond. Saveur moelleuse, acre, goût ample, amertume herbacée Goût fruité de grain, de houblon  frais et de  levure  douce et acre.;Saveur douce. Complexe aromatique acre et herbacé. Goût fruité (banane ?);La Trappe blonde;;
La Trappe brune;Abbaye trappiste;Hollande;16;Trappiste;haute;6,5;33 cl;Koningshoeven;Une  trappiste  (Koningshoeven) brune qui ne manque pas de charmes. Belle mousse, couleur ambrée très foncée, pleine de corps, légèrement épicée et réglissée. Acreté des levures, bonne  saturation . Très bonne  trappiste  brune.;Bière  trappiste  (cisterciens réformés). La seule  trappiste  hollandaise.;La Trappe brune;;
La Vieille Bon Secours;Caulier;Belgique;12;Abbaye;Haute;7,5;33 cl;Peruwelz;;;;;
La vieille Bon-Secours;;Belgique;14,5;Abbaye;haute;7,5;75 cl;Bon-Secours;Abricot-orangée, bien  saturée , limpide. Mousse peu serrée subsistant sur 3 mm. Arôme fruité de  levure , nez liquoreux, puissant et doux, intense et très profond. Peu épicée, mais picotante, amertume équilibrée, saveur douce et âcre persistante. Bien en bouche mais un peu trop sucrée.  Capiteuse .;Bière d' abbaye  belge sur lie;La vieille Bon-Secours;;
La Villeneuvoise;D'annoeullin;France;13,5;Garde;haute;6,4;25 cl;Annoeullin;Une  garde  dorée, limpide,  saturation  moyenne, belle mousse serrée de tenue moyenne. Arôme fin et très fruité, profondeur de  malt  doublée de  houblon . Bière assez corsée, amertume emplissant la bouche sans être excessive, légère âpreté. Bière mi - sèche , agréable et bien faite (voir Pastor Ale);Brassée pour 'Boissons cash Dubus' (Villeneuve d'ascq) par la SBA.;La Villeneuvoise;;
Labatt's Classic;Labatt;Canada;11,5;Pils;basse;5;33 cl;Labatt;Pils  pur malt, cristalline et dorée, peu saturée. Mousse blanche fine et peu tenace. Nez à dominante maltée, assez classique. Goût net, houblonnage léger et équilibré, assez amer. Au goût, dominance du  malt  et corps moyen. Bière correcte, sans distinction particulière, assez moyenne.;Bière canadienne, bien faite mais sans caractère particulier.;Labatt's Classic;;
Lapin Kulta;;Finlande;;;;;;;;;Lapin Kulta;;
L'avesnoise;de Montceau St Waast;France;16;Spéciale;haute;5;25 cl;Montceau St Waast;Blonde dorée, sur  levure , bien saturée, à la mousse serré et stable. Excellent nez fin, boisé et aigrelet. Saveur étonnante pour une bière de ce type. Goût aigrelet caractéristique, allié à une certaine rondeur maltée. Bouche acidulée (citron). Bonne bière surprenante et fraîche.;A boire bien fraîche. Surprenante et désaltérante.;L'avesnoise;;
Le pavé de l'ours;La binchoise;Belgique;14;Spéciale;haute;8,5;75 cl;Binche;Bière jaune-orangée, trouble, bien saturée en bulles fines, mousse claire fine et tenace. Arôme parfumé et fruité de  levure  et de miel de fleurs. Nez doux, aromatique. Saveur douce, un peu acre, non amère, très parfumée, subtile point aigre/fruitée. Bouche fluide, alcoolisée, assez sirupeuse.;Authentique bière au miel. Bonne bière apéritive ou de dessert,  capiteuse .;Le pavé de l'ours;;
L'écume des jours;Brunehaut;Belgique;12;Spéciale;Double;;33 cl;Brunehaut;Bière sur lie.;;;;
Leffe blonde;St guibert;Belgique;13;Abbaye;haute;6,2;25 cl;Dinant;Blonde dorée, cristalline, mousse abondante et serrée. Nez doux d'alcool, assez puissant mais manquant de finesse. Saveur douce légèrement piquante, bien maltée. Rondeur caractéristique. Bonne tenue en bouche, amertume et post-amertume moyennes. Agréable, mais manque de caractère pour une  abbaye .;Monastère de la circarie de Brabant des chanoines réguliers de Prémontré.;Leffe blonde;;
Leffe Brune;St guibert;Belgique;13,5;Abbaye;haute;6,6;33 et 25 cl;Mont st guibert;Acajou foncée, mais limpide. Mousse abondante, assez serrée, durée moyenne. Parfum de  caramel  léger mais assez quelconque, manquant de rondeur et de richesse. Goût caramel grillé assez sec, bouche torréfiée un peu piquante. Post-amertume équilibrée et torréfié mais manque de caractère pour une  abbaye .;Monastère de la Circarie de Brabant des chanoines réguliers de Prémontré;Leffe Brune;;
Leffe Radieuse;St guibert;Belgique;15,5;Abbaye;haute;8,2;33 cl;Dinant;Couleur brique, cristalline, peu  saturée , mousse beige abondante, serrée et de belle tenue. Arôme caramélisé et très subtilement acidulé et épicé. Saveur puissante, caramélisée, assez douce, légèrement piquante et poivrée Bouche moelleuse, alcoolisée. Bonne post-amertume caramélisée.;Bière de l' abbaye  de  Leffe  (chanoines réguliers de Prémontré). Depuis 1960.;Leffe Radieuse;;
Leffe Triple;St guibert;Belgique;16;Abbaye;haute;8;33 cl;Dinant;Blonde mordorée, limpide (sur lie), belle mousse blanche serrée, abondante. Saturation moyenne-faible. Arôme malté-houblonné amer, parfum acre des levures. Saveur fruitée à peine douce, amertume aromatique, bouche pleine, équilibrée et savoureuse. Harmonie de rondeur et d'amertume parfumée.;Bière d' abbaye sur lie, refermentée en bouteille.;Leffe Triple;;
Leffe Vieille cuvée;St guibert;Belgique;13,5;Abbaye;haute;6,2;25 cl;Dinant;Bière marron-orangée, léger trouble, belle mousse onctueuse, mais qui s'aére ensuite, de tenue correcte toutefois. Arôme caramélisé avec des nuances liquoreuses. Goût assez moelleux, surtout en 1ère bouche, bon corps, bière assez sucrée, tons liquoreux. abbaye  correcte mais sucrée.;Monastère de la Circarie de Brabant des chanoines réguliers de Prémontré;Leffe Vieille cuvée;;
Liefmans;Liefmans;Belgique;15;Spéciale;haute;5;25 cl;Oudenaarde;Une excellente brune, légèrement aigre-douce, fine et rafraîchissante. Belle mousse de courte durée, parfum boisé et aigre. Cette bière ' Liefmans ' est la version 'jeune' de la Liefmans Goudenband, qui, elle, est encore bien meilleure. (car mûrie plus longtemps);Oud bruin bier.;Liefmans;;
Liefmans Frambozenbier;Liefmans;Belgique;16;Spéciale;haute;5,1;25 cl et 37.5 cl;Oudenaarde;Rouge très foncé, limpide, mousse brune très fine et abondante, assez peu stable et s'aérant. Nez doux et très fruité de framboises naturelles Bouche fruitée onctueuse et surette. Plénitude en bouche, corps équilibré et onctuosité font de la  Liefmans  frambozenbier une bière de classe !;Mélange de Goudenband (1 an d'âge) et d'un coulis de framboises.;Liefmans Frambozenbier;;
Liefmans Goudenband;Liefmans;Belgique;17,5;Spéciale;haute;5;37.5 cl;Oudenaarde;Brun-acajou profond, limpide (sur lie), mousse beige peu serrée qui s'aére mais tient assez bien. Nez affirmé, vineux, très fin, nuances réglissées. Saveur d'abord piquante, virant à l'acidité douce et boisée. Grande finesse de corps, bon équilibre général, légère post-amertume. Un vrai grand cru !;La célèbre  Liefmans  Goudenband, finesse boisée et aigre douce remarquable.;Liefmans Goudenband;;
Liefmans Kriekbier;Liefmans;Belgique;16;Spéciale;haute;7,1;25 cl;Oudenaarde;Bière brune à la cerise au  goût évolutif , mousse fugace et légère Une excellente bière brune, au goût de cerise prononcé, (nuances de Porto) mais qui s'estompe peu à peu pour laisser réapparaître le goût de la bière brune, bonne tenue en bouche, arrière goût agréable et suret.;Mélange de Goudenband (1 an d'âge) macérée avec des cerises pendant 7 mois.;Liefmans Kriekbier;;
Liefmans Odnar;Liefmans;Belgique;14,5;Spéciale;haute;5,5;33 cl;Oudenaarde;Acajou-foncé, limpide, peu  saturée  en grosses bulles, belle mousse brune abondante, très serrée, de durée moyenne. Arôme  caramel , torréfié et aigre Nez franc, structuré. Bouche d'abord aigre puis caramélisée-grillée. Légère post-amertume. Arrière goût aigre durable. Agréable, mais manque de finesse;Bière aigre de la brasserie  Liefmans .;Liefmans Odnar;;
Lilliput;d' Achouffe;Belgique;14,5;Spéciale;haute;9,5;37.5 cl;Achouffe;Blonde d'un doré profond, limpide, mousse claire assez serrée, saturation fine. Nez très agréable et fruité de pomme mûre, odeur très parfumée. Saveur douce, corps moyen, fruité et sucré, coule bien en bouche. Goût de  levure  fruitée aromatique, peu âcre  Surprenante, douce, forte et fruitée.;Bière sur lie ( levure  très fine et très légère).;Lilliput;;
Lindemans Cassis lambic;Lindemans;Belgique;14,5;Lambic;spontanée;5;37.5 cl;Vlezenbeek;Un  lambic  cassis filtré et pasteurisé, assez sur, désaltérant. Peut être légèrement trop sucrée. La brasserie Lindemans, malheureusement, coupe ses bières avec d'autres de fermentation haute. Un peu d'authentique qui s'en va. Bon  lambic  quand même; lambic  de fermentation spontanée, pasteurisé, filtré.;Lindemans Cassis lambic;;
Lindemans Faro lambic;Lindemans;Belgique;14,5;Lambic;spontanée;4,5;37.5 cl;Vlezenbeek;Abricot foncé, belle mousse aux bulles assez serrées de faible tenue. Bien  saturée , légèrement trouble. Nez boisé plaisant, sur mais sucré. Bouche franche et surette se prolongeant bien, fruité subtilement vineux. Peu amère, douce, peu  astringente . Bière originale, ronde et fine.;Faro actuel =  lambic  édulcoré au sucre candi;Lindemans Faro lambic;;
Lindemans Franboise;Lindemans;Belgique;16;Lambic;spontanée;2,5;37.5 cl;Vlezenbeek;Très bon gout de franboise, excellente kriek.;;Lindemans Franboise;;
Lindemans Gueuze lambic;Lindemans;Belgique;14,5;Lambic;spontanée;6;33 cl;Vlezenbeek;Une bonne  gueuze   lambic , qui, au fil des ans a perdu son goût suret. Bière bien équilibrée, agréable, mais assez douce. Bien faite, mais trop orientée grand public (goût sucré);Filtrée, pasteurisée, probablement coupée avec d'autres bières.;Lindemans Gueuze lambic;;
Lindemans Pêcheresse.;Lindemans;Belgique;14;Lambic;spontanée;3;37.5 cl;Vlezenbeek;Une  gueuze  parfumée à la pêche, agréable, un peu trop douce à mon goût. Manque du goût caractéristique des gueuzes, agréable tout de même.; lambic  filtré et pasteurisé, contient des fruits de la passion.;Lindemans Pêcheresse.;;
Livinus blonde;Van eecke;Belgique;15,5;Spéciale;haute;8;33 cl;Watou;Spéciale blonde-abricot, sur lie, mousse aérée abondante et tenace. Arôme profond, doux et liquoreux, nez puissant de levures et de vieux  houblon , aux nuances riches de  caramel . Saveur douce et riche, amère et assez acre ( levure ), bien en bouche, frnche et durable, pleine de personnalité.;;Livinus blonde;;
Livinus brune;Van eecke;Belgique;;Spéciale;haute;;33 cl;Watou;;;Livinus brune;;
Loburg;Interbrew;Belgique;13;Ale;Basse;5,7;25 cl;Bruxelles;Biére blonde.;;Loburg;;
London Pride;Fuller;Angleterre;13,5;Pale Ale;haute;4,7;275 ml (1/2 pinte);Londres;Pale Ale ambrée, limpide. Saturation et mousse moyennes. Arôme doux et rond de  malt  et  caramel . Saveur équilibrée, bouche légèrement caramélisée, goût de  houblon , subtil mais net. Amertume et post-amertume harmonieuses. Corps bien balancé. Bouche pleine, douce et complexe. Intéressante Pale Ale.;Véritable  Pale Ale  de la région de Londres.;London Pride;;
Lone star;Lone star;U.S.A;11;Pils;basse;;355 ml;Texas;Une  pils  limpide, jolie mousse à bonne accroche, mais bière moyenne, peu de goût, arôme faible, bouche peu marquée et peu durable.  Pils  assez sèche typiquement américaine.;Brewed with sparkling pure water (à l'eau pétillante ?);Lone star;;
Loteling;Vieille Villers;Belgique;15;Spéciale;haute;;33 cl;Puurs;Bière blonde, trouble et bien saturée. Mousse blanche abondante mais assez peu serrée. Nez boisé, vert et finement houblonné. Saveur particulière, primo-acidité, puis douceur malté très fine succédée par une aigreur très caractéristique. Plénitude et corps acides, bonne bière inhabituelle.;Bière blonde, acide et aigre, à la saveur extra-ordinaire.;Loteling;;
Loteling Brune;Vieille Villers;Belgique;14,5;Spéciale;haute;7,6;33 cl;Puurs;Brune acajou, limpide (sur  levure ), belle mousse fine et stable. Arôme de réglisse et de vieux vin boisé, torréfié, pénétrant. Saveur douce, bouche tendre et voluptueuse, avec une pointe d'acidité. Amertume moyenne, Post-amertume équilibrée, un peu âcre . Bonne bière agréable à boire fraîche;;Loteling Brune;;
Louwaege Stout;Louwaege;Belgique;12,5;Stout;haute;4,8;33 cl;Kortemark;Stout noir, mousse brune foncée, assez stable et serrée. Nez assez intense et doux, aux subtils tons torréfiés. Saveur typique des stouts belges, douce, voire sucrée, et assez amère. Léger goût de grillé, saveur corsée. Assez bonne bière, malgré ce déséquilibre typique douceur/amertume.;;Louwaege Stout;;
Löwenbrau Alkoholfrei;Löwenbrau;Allemagne;11,5;Pils;basse;1;50 cl;Münich;Pils  sans alcool, dorée, limpide, mousse blanche assez tenace, saturation correcte en bulles moyennes. Nez de  malt  dominant, arômes de  houblon  très herbeux. Saveur d'abord légèrement sucrée, puis goût de  malt  d'orge trempé dominant. Amertume moyen localisée en fond de bouche. Correcte.;Bière sans alcool classique et assez bien faite.;Löwenbrau Alkoholfrei;;
Lucifer;Riva;Belgique;11;Spéciale;haute;8;33 cl;Dentergem;Une blonde, presque blanche,  astringente, très acide, déconcertante. A ne consommer que 3 à 5 minutes après avoir versé ( goût évolutif ), elle devient alors une bière assez corsée, mais encore bien acide. Saturation excessive.;;Lucifer;;
Luxe du moulin;de St Sylvestre;France;12,5;Pils;basse;5,2;75 cl;St Sylvestre Cappel;Cristalline, mousse blanche assez serrée de durée moyenne. Peu  saturée . Nez agréable, malté et bien houblonné. Saveur assez douce, amertume bien présente mais non dominante (amertume aromatique), léger fruité,  pils  agréable, légère et bien faite, sans être extraodinaire.;Brassée dans les  Flandres  françaises.;Luxe du moulin;;
Mac Chouffe;Achouffe;Belgique;13;Spéciale;Haute;8;75 cl;Achouffe;;;Mac Chouffe;;
Mac Ewans Schtoch;John  Martin;Belgique;11;Spéciale;haute;7,2;25 cl;Anvers;;;Mac Ewans Schtoch;;
Mac Gregor;;;12;Spéciale;haute;;25 cl;;Bière au malt de whisky ressemble à l'adelscott.;;Mac Gregor;;
Maes Pils;Maes;Belgique;13,5;Pils;basse;5,1;25 et 33 cl;Waarloos;Une  pils  jaune, limpide, mousse serrée de durée moyenne,  saturation  assez faible, bonne accroche. Excellent bouquet de  houblon , doublé d'une profondeur de  malt . Bière légère et assez douce à boire, relativement sèche, corps moyen, goût de  houblon et de  malt  bien marqués. Bonne  pils .;Brassée à partir de  malt  de bohême et de fleurs de  houblon  de Saaz.;Maes Pils;;
Maisel's hefe weisse;Maisel;Allemagne;13,5;Blanche;haute;5,7;50 cl;Bayreuth;Bière blanche allemande, de couleur cuivrée assez sombre, sur levure, à la mousse claire, très stable et compacte. Arôme fumé et de céréales (froment) frais mais assez profond. Saveur de céréales en 1ère bouche, palais fruité mais léger. Equilibre de corps, arrière goût fondu, doux, frais et agréable;A boire bien fraîche (8 degrés);Maisel's hefe weisse;;
Maredsous 10;Moortgat;Belgique;14,5;Abbaye;haute;10;33 cl;Breendonk;De couleur abricot-orange, sur  levure , bien saturée, mousse blanche fine et onctueuse. Nez doux et alcoolisé, profondeur maltée et piquante. Saveur corsée, bien en bouche, légèrement épicée, goût de  levure  acre et fruité, post-amertume équilibrée, bonne bière forte, douce et capiteuse.;Bière de l' abbaye  de  Maredsous , forte, douce et capiteuse.;Maredsous 10;;
Maredsous 6;Moortgat;Belgique;14,5;Abbaye;haute;6;33 cl;Breendonk;Couleur jaune antique, à peine troublée, cette bière a une mousse blanche abondante, serrée et stable. Forte  saturation  en grosses bulles. Nez malté élégamment houblonné et profond. Saveur fruitée et légèrement acre, assez peu amère, mi-douce, aromatique, au corps bien formé et équilibré.;Bière de l' abbaye  de  Maredsous , assez légère et fruitée, sur  levure .;Maredsous 6;;
Maredsous 8;Moortgat;Belgique;;Abbaye;haute;8;33 cl;Breendonk;;Bière de l' abbaye  de  Maredsous , forte, douce et capiteuse.;Maredsous 8;;
Martin's pale ale;Courage;Angleterre;14,5;Pale Ale;haute;5,8;33 cl;Angleterre;Une rousse de qualité, assez forte, tient bien en bouche Goût de malt prononcé (Ale) mais non dominant Bon équilibre  malt /Houblon, très légère acidité.;Bière anglaise fabriquée par Courage sous le nom de Bulldog  Pale Ale .;John Martin's pale ale;;
Mechelschen Bruynen;Het Hanker;Belgique;13,5;Spéciale;haute;7;33 cl;Malines;Brun-rouge foncée, limpide (sur lie), crème fine de couleur beige claire, peu saturée. Fort arôme vineux-caramélisé. Goût puissant, première amertume forte et acre, saveur réglissée mais peu épicée. Tenue en bouche d'assez faible durée (peu de corps), post-amertume moyenne. Très typée mais moyenne;'La brune de Malines' en Flamand.;Mechelschen Bruynen;;
Mechelschen Bruynen Ambrée;Het Anker;Belgique;11,5;Spéciale;haute;5,5;25 cl;Malines;Ambrée, limpide (sur  levure ), très saturée en bulles fines, à la mousse beige serrée et stable. Arôme intense de  caramel  et de fruits mûrs (levure) Saveur à l'amertume équilibrée, léger gôut de caramel au lait. Goût à peine sûr. Post-amertume légère. Peu de corps et de présence, bouche trop subtile;Bière ambrée de fermentation haute dont la saveur n'égale pas l'arôme.;Mechelschen Bruynen Ambrée;;
Messina;Messina;Italie;10;Pils;basse;4,7;33 cl;Milan;Pâle, cristalline, jolie mousse blanche serrée. Nez très finement malté et houblonné, odorat délicat légèrement piquant (CO2). Première bouche un peu piquante et maltée, disparition rapide du goût, peu de corps, subsistance d'une amertume font de cette bière un breuvage à peine rafraîchissant.;Bière italienne de type  Pils  brassée à l'orge de Sicile.;Messina;;
Méthode Artisanale;Adelshoffen;France;13;Spéciale basse;basse;5,2;75 cl;Adelshoffen;Bière assez pâle, mousse blanche serrée de tenue moyenne. Saturation plutôt faible. Arôme amer et légèrement fruité de  houblon , nez rond de  malt  doux. Saveur équilibrée, première bouche amère, laissant ensuite place à un goût plus rond et fruité, légèrement collant. Bien faite pour une bière courante;;Méthode Artisanale;;
Michelob;Anheuser Busch;U.S.A;13;Pils;basse;5;33 cl;St Louis;Une pils et d'assez courte durée. Très léger arrière goût de pomme Assez bonne  pils , très rafraîchissante.;Bière;Michelob;;
Milleneir;D'achouffe;Belgique;15;Spéciale;haute;8,5;33 cl;Achouffe;Bière dorée, sur  levure  (petits paquets), mousse blanche abondante assez stable, bien saturée. Arôme malté, doux et moelleux, fruité aromatique, nez d'épices douces, souple et rond. Saveur pleine,  houblon  aromatique, goût fruité (pêche ?), légère acreté. Corps ferme et assez long. Bonne bière !;Bière ' à étiquette ' d'Achouffe, aromatique, acre et fruitée.;Milleneir;;
Moeder Overste;Lefebvre;Belgique;15,5;Spéciale;haute;8;25 cl;Quenast;Cuivrée-orangée, limpide, mousse abondante et assez tenace. Arôme de  malt  doux et profond, nez riche aux subtilités de liqueur. Bière ronde, fruitée, riche, moelleuse et agréablement caramélisée, bien en bouche, peu amère et à peine piquante. Arrière goût harmonieux. Bonne bière douce bien fruitée.;Bière fruitée sur lie, au  goût évolutif . (Moeder Overste = Mère supérieure);Moeder Overste;;
Moinette;Dupont;Belgique;15;Spéciale;haute;8,5;25 cl;Tourpes;Dorée-orangée, trouble, mousse blanche abondante de durée moyenne, peu  saturée . Nez puissant bien malté, fruité-épicé, aromatique et corsé. Saveur légèrement acide, amertume prononcée doublée de l'acreté de la  levure . Bouche aromatique et acre, arrière goût prolongé. Bonne bière très spéciale;Non filtrée, contient du gingembre, verser avec précaution. Depuis 1950.;Moinette;;
Moinette II (brune);Dupont;Belgique;15;Spéciale;haute;8,5;75 cl;Tourpes;De couleur abricot-mûr, troublée par sa  levure, assez peu  saturée, à la mousse abondante et fine, son arôme fin et épicé accompagne parfaitement sa saveur ronde et bien en bouche, au goût franc, sec, aromatique et acre. Bonne bière corsée avec légère post-acidité et amertume épicée étrange.;Vieille bière forte non filtrée.;Moinette II (brune);;
Monseigneur;;Belgique;15;Abbaye;haute;8;33 cl;Bierbeek;Une bière d' abbaye , de couleur marron foncé. Mousse abondante, qui retombe doucement et se stabilise sur 3 mm. Bonne bouche, bière corsée, ronde, caramélisée et d'amertume moyenne. Nuances caramélisées-épicées. Bonne bière classique d'abbaye .;Bière d' abbaye  brune sur lie.;Monseigneur;;
Montagnarde;Abbaye des Rocs;Belgique;14;Spéciale;haute;9;37.5 et 75 cl;Montignies Sur Roc;Bière  spéciale , couleur abricot mûr, troublée par la  levure , mousse blanche assez serrée et stable. Arôme doux et légèrement acre, aux arrière tons de  malt  boisé. Saveur au goût évolutif, d'abord piquant puis rond et ample. Corsée, acre, peu amère, peu épicée mais douce, ronde et fruitée.;Bière au goût évolutif. Passe bien malgré son fort degré alcoolique.;La Montagnarde;;
Mort subite cassis lambic;de Keersmaeker;Belgique;13;Lambic;spontanée;4;37.5 cl;Asse;Une cassis  lambic  relativement transparente, rouge orangée. Belle mousse serrée qui retombe assez vite. Parfum persistant de sirop de cassis et goût sucré pour ce  lambic  correct sans plus; lambic  bouchonné. Son nom vient du café bruxellois;Mort subite cassis lambic;;
Mort subite gueuze fond;de Keersmaeker;Belgique;14,5;Lambic;spontanée;6;37,5;Asse;Jaune-abricot, trouble (légère lie), bien saturée, mousse blanche serrée et stable. Nez sur aux tons vieux  houblon légèrement boisés. Saveur assez douce rattrapée par une sureté bien balancée. Amertume et acidité présentes et corsées. Assez bon compromis de tradition et de modernité. Agréable.; Gueuze  fond (avec dépôt de levure). Se rapproche du  lambic  traditionnel;Mort subite gueuze fond;;
Mort subite gueuze lambic;de Keersmaeker;Belgique;12;Lambic;spontanée;4,5;37.5 cl;Asse;Gueuze dorée-orangée, limpide, bien saturée, bulles moyennes, mousse serrée de tenue moyenne. Arôme doux de fruits mûrs, pointes acides, subtilités boisées trop discrètes. Saveur sucrée, net goût de  malt  et de vieux  houblon  Acidité faible pour un  lambic , saveur trop douce, manquant d'authenticité.;Gueuze quasi-industrielle, sucrée, filtrée, pasteurisée.;Mort subite gueuze lambic;;
Mort subite kriek lambic;de Keersmaeker;Belgique;13;Lambic;spontanée;4,5;37.5 cl;Asse;Une kriek lambic  correcte, assez douce, rouge foncée, mousse peu tenace. Ne vous attendez toutefois pas à une mort subite (4.5 % vol) Saveur fruitée puissante, estompant le côté classiquement sur des gueuzes.;Servir à 8 à 10 degrés dans un verre ballon.;Mort subite kriek lambic;;
Mort subite pêche lambic;de Keersmaeker;Belgique;13;Lambic;spontanée;4,3;25 cl;Asse;;Servir à 8 à 10 degrés dans un verre ballon.;Mort subite kriek lambic;;
Mortimer;Météor;France;14;Spéciale;haute;8;25 cl;Hochfelden;Bière ambrée, limpide, peu saturée en bulles assez grosses. Arôme de  malt  caramélisé plutôt doux, nez légèrement sucré. Saveur ronde de malt, faible amertume. Bouche équilibrée et légèrement fruitée, agréable, avec de la mâche et du corps. Légère post-amertume, saveur d'alcool. Bière correcte.;Bière de type  Ale , mais sans caractère houblonné. Très correcte.;Mortimer;;
Mousel premium pils;Mousel;Luxembourg;11,5;Pils;basse;4,8;33 cl;Luxembourg;Pils  claire, cristalline, mousse serrée de durée moyenne, peu  saturée . Arôme fin de  malt . Subtil nez d'alcool. Bouche assez neutre, fin de bouche un peu cartonnée. Post-amertume emplissant la bouche. Coule bien mais n'accroche pas les papilles, manque de personnalité.;;Mousel premium pils;;
Münchner Kindl Weissbier;Hofbraühaus;Allemagne;11;Blanche;haute;5,1;50 cl;Münich;De couleur jaune-mordorée, troublée par sa  levure , mousse fine surabondante et saturation importante. Au nez ; arôme fin, fumé et acide, sans caractère Bouche franche, attaque acide et charpentée, mais le goût disparaît trop vite et le corps est faible. Bien faite, rafraîchissante, mais quelconque.;Bière  blanche  au corps peu marqué, mais assez rafraîchissante.;Münchner Kindl Weissbier;;
Münsterhof;;France;8;Pils;basse;4,5;25 cl;Alsace;Bière limpide, belle mousse. Couleur assez pâle. Arôme bien houblonné, mais goût assez faible. Une  pils  française très moyenne.;;Münsterhof;;
Murphy's;Murphy;Irlande;15,5;Stout;haute;4,3;25 cl;Cork;Stout  noir ébène, à la crème brune abondante et stable. Arôme fin assez typique des stouts, odeur de  malt  grillé, subtiles nuances de  caramel. Bouche veloutée et très amère à la fois, saveur torréfiée équilibrée, très nuancée, moyennement corsée. Excellent stout, encore meilleur à la pression; Stout  irlandais fabriqué a Cork. Un des grands concurrents de  Guinness .;Murphy's;1664rubenschapeauginnessABBAYE;12
